epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.54667,1.85367,4.8795,1.64136,0.00028,0.08333,0.00016,7e-05,1.32614,5.16119,1.77579,2e-05,2e-05,2e-05
2,18.4414,1.62083,4.88323,1.60612,0.00167,0.5,0.00126,0.00073,1.13996,4.99409,1.55988,5.8812e-05,5.8812e-05,5.8812e-05
3,26.9833,1.44154,4.3419,1.44262,0.0025,0.75,0.00263,0.00152,1.13011,4.61861,1.25945,9.604e-05,9.604e-05,9.604e-05
4,35.4195,1.21706,4.05173,1.26606,0.00278,0.83333,0.00366,0.00227,1.12563,4.33809,1.14271,0.000131684,0.000131684,0.000131684
5,43.4865,1.25535,3.70408,1.23585,0.00278,0.83333,0.01105,0.00544,1.20423,4.14444,1.14347,0.000165744,0.000165744,0.000165744
6,51.5735,1.28978,3.36443,1.21664,0.00333,1,0.057,0.0234,1.24467,4.07963,1.15585,0.00019822,0.00019822,0.00019822
7,59.7519,1.15566,2.60589,1.07724,0.00333,1,0.46913,0.17862,1.10179,3.99506,1.07491,0.000229112,0.000229112,0.000229112
8,68.0378,1.17915,2.09986,1.1199,0.00333,1,0.68063,0.24369,1.07606,3.8073,1.0427,0.00025842,0.00025842,0.00025842
9,76.3904,1.03848,1.93325,1.04366,0.00333,1,0.71097,0.29396,1.00816,3.77587,1.01596,0.000286144,0.000286144,0.000286144
10,84.8793,0.90012,2.01884,1.02996,0.00333,1,0.70108,0.34723,0.99342,3.7935,1.00153,0.000312284,0.000312284,0.000312284
11,93.1246,0.9076,1.7911,1.01162,0.00333,1,0.58517,0.34426,0.97533,3.79243,0.98903,0.00033684,0.00033684,0.00033684
12,101.396,1.0425,2.07624,1.04027,0.00333,1,0.56227,0.2913,0.96017,3.79328,0.97007,0.000359812,0.000359812,0.000359812
13,110.264,0.80397,2.24337,0.98265,0.00333,1,0.29955,0.14782,0.92159,3.75851,0.96607,0.0003812,0.0003812,0.0003812
14,119.614,0.94871,1.85997,0.98591,0.00333,1,0.1064,0.07188,0.87649,3.71402,0.95244,0.000401004,0.000401004,0.000401004
15,129.288,0.93711,1.6656,1.00884,0.00333,1,0.42508,0.301,0.86924,3.70018,0.94429,0.000419224,0.000419224,0.000419224
16,137.62,0.82125,1.49904,0.91672,0.00333,1,0.13348,0.09781,0.91733,3.65399,0.9675,0.00043586,0.00043586,0.00043586
17,146.534,0.86531,1.54634,0.95763,0.00333,1,0.01656,0.01166,0.91885,3.71356,0.97763,0.000450912,0.000450912,0.000450912
18,154.658,0.84295,1.38489,0.92862,0.00333,1,0.00555,0.00348,0.94962,3.72988,1.02727,0.00046438,0.00046438,0.00046438
19,163.044,0.93166,1.60532,1.03548,0.00333,1,0.00497,0.00307,0.89337,3.81946,1.01326,0.000476264,0.000476264,0.000476264
20,171.559,0.89261,1.3956,0.95583,0.00333,1,0.0041,0.0026,0.84136,3.84944,0.99608,0.000486564,0.000486564,0.000486564
21,180.143,0.75553,1.461,0.88976,0.00278,0.83333,0.00562,0.00406,0.83254,3.88166,0.99204,0.00049528,0.00049528,0.00049528
22,188.656,0.86154,1.68464,1.02315,0.00278,0.83333,0.01219,0.00916,0.90372,3.82431,0.99999,0.000502412,0.000502412,0.000502412
23,197.157,0.94586,1.73022,0.98164,0.00278,0.83333,0.01968,0.01477,0.98299,3.8042,1.01152,0.00050796,0.00050796,0.00050796
24,205.714,0.80825,1.20755,0.95415,0.00278,0.83333,0.02069,0.01652,0.96104,3.83795,1.00867,0.000511924,0.000511924,0.000511924
25,213.841,0.80242,1.41582,0.91168,0.00278,0.83333,0.01597,0.0129,0.90647,3.90757,0.99545,0.000514304,0.000514304,0.000514304
26,222.421,0.9223,1.58897,0.99932,0.00278,0.83333,0.01433,0.01165,0.91122,3.85719,0.99705,0.0005151,0.0005151,0.0005151
27,230.593,0.81498,1.24934,0.93867,0.00278,0.83333,0.01416,0.01155,0.89848,3.80382,0.99276,0.000514312,0.000514312,0.000514312
28,238.687,0.95534,1.51306,0.93934,0.00278,0.83333,0.01416,0.01155,0.89848,3.80382,0.99276,0.00051194,0.00051194,0.00051194
29,246.803,0.84231,1.51744,0.95102,0.00306,0.91667,0.01783,0.01418,0.96746,3.76625,1.01618,0.000507984,0.000507984,0.000507984
30,255.012,0.96621,1.38507,1.00649,0.00306,0.91667,0.03233,0.02546,0.98266,3.71936,1.01644,0.000502444,0.000502444,0.000502444
31,263.327,0.85217,1.4155,0.95162,0.00306,0.91667,0.03233,0.02546,0.98266,3.71936,1.01644,0.00049532,0.00049532,0.00049532
32,271.354,0.74334,1.19234,0.89115,0.00306,0.91667,0.14271,0.11607,0.9405,3.57302,0.97657,0.000486612,0.000486612,0.000486612
33,279.603,0.69766,1.23258,0.89179,0.61877,0.5,0.54191,0.44594,0.86091,3.40865,0.96336,0.00047632,0.00047632,0.00047632
34,288.226,0.74345,1.21589,0.92073,0.61877,0.5,0.54191,0.44594,0.86091,3.40865,0.96336,0.000464444,0.000464444,0.000464444
35,297.527,0.78328,1.07762,0.88894,0.98093,0.5,0.64864,0.53029,0.83459,3.31403,0.97886,0.000450984,0.000450984,0.000450984
